,joblinks
35,https://in.linkedin.com/jobs/view/digital-marketing-analyst-at-tvisha-technologies-incorporation-3792619589?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=m914WNx7bot2jDAkPSdfmw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
36,https://in.linkedin.com/jobs/view/business-analyst-clinical-us-healthcare-at-yo-hr-consultancy-3593854538?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=pVhrgXJm9Fqxez2HKxSC5g%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
37,https://in.linkedin.com/jobs/view/business-analyst-at-pro-vigil-surveillance-services-3798636898?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=tmu5JoIOzrYtEwQMmPyktw%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
38,https://in.linkedin.com/jobs/view/business-analyst-ii-brand-protection-at-amazon-3759752516?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=wk%2BZpZsp%2BF%2FAuf17jG8kyQ%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
39,https://in.linkedin.com/jobs/view/senior-sem-analyst-hyderabad-at-angel-and-genie-3791606571?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=aZO0gOnJxUMpJT%2FW7W%2B%2F7g%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
40,https://in.linkedin.com/jobs/view/business-analyst-at-multi-recruit-3767396720?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=uExy63MS9hV0D4vv%2BPw7Kg%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
41,https://in.linkedin.com/jobs/view/campaign-management-analyst-campaign-management-at-accenture-in-india-3775591360?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=C5T2syfvdzGBWYFmncyv8Q%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
42,https://in.linkedin.com/jobs/view/business-analyst-at-urban-living-development-management-3792626470?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=oz85NBcQsrKKoIpoc6U3yQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
43,https://in.linkedin.com/jobs/view/business-analyst-at-ideslabs-private-limited-3800202087?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=JYeNI3IqnVc%2B5xzFuOev3Q%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
44,https://in.linkedin.com/jobs/view/business-analyst-product-at-buzzboard-3787752430?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=vOzZKWWKGjB5D1eFm6XHaA%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
45,https://in.linkedin.com/jobs/view/executive-manager-promo-ai-business-analyst-at-pepsico-3778906333?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=izeeN%2BN9sDiLGycQIcZ4Fw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
46,https://in.linkedin.com/jobs/view/business-analyst-at-fusion-plus-solutions-inc-3782204987?refId=zrhEVyiPinwGerFr6BB27g%3D%3D&trackingId=D29joyVUoX2fCqyhxY%2BmyA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
47,https://in.linkedin.com/jobs/view/business-analyst-ii-at-amazon-3774860251?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=6lzDUhcXC3J9yugqPFPuJw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
48,https://in.linkedin.com/jobs/view/business-analyst-at-tvisha-technologies-incorporation-3792619633?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=2I0leXNoeuRUdIZWICE9xg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
49,https://in.linkedin.com/jobs/view/business-analyst-nas-at-skillety-3626320376?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=fUXzXSr7Zrm6Vj009em1vA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
50,https://in.linkedin.com/jobs/view/market-research-analyst-at-rimini-street-3803664568?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=ok08Ji5Y%2B9zmnHbsyPdZsA%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
51,https://in.linkedin.com/jobs/view/market-research-analyst-cpg-fmcg-for-us-mnc-in-hyderabad-or-gurgaon-at-capital-placement-services-gurgaon-delhi-noida-manesar-bawal-neemrana-bhiwadi-sohna-road-3792385274?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=qUJDzsFuFhI3UaxyBruJ1g%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
52,https://in.linkedin.com/jobs/view/business-analyst-at-algonox-technologies-3804097766?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=urjH%2B%2F3A9z71sqFIBhxqQQ%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
53,https://in.linkedin.com/jobs/view/business-analyst-at-fusion-plus-solutions-inc-3789572374?refId=OwaxOuxx%2B5hgOC0FBcIa%2Fg%3D%3D&trackingId=3ZlMBWTeVAwTO2zxx8pMwg%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
